,code,symbol,name,area,fullname,market,list_date
0,SZ000001,000001,平安银行,深圳,银行,主板,19910403
1,SZ000002,000002,万科A,深圳,全国地产,主板,19910129
2,SZ000004,000004,国农科技,深圳,生物制药,主板,19910114
3,SZ000005,000005,世纪星源,深圳,环境保护,主板,19901210
4,SZ000006,000006,深振业A,深圳,区域地产,主板,19920427
5,SZ000007,000007,全新好,深圳,酒店餐饮,主板,19920413
6,SZ000008,000008,神州高铁,北京,运输设备,主板,19920507
7,SZ000009,000009,中国宝安,深圳,综合类,主板,19910625
8,SZ000010,000010,*ST美丽,深圳,建筑工程,主板,19951027
9,SZ000011,000011,深物业A,深圳,区域地产,主板,19920330
10,SZ000012,000012,南玻A,深圳,玻璃,主板,19920228
11,SZ000014,000014,沙河股份,深圳,全国地产,主板,19920602
12,SZ000016,000016,深康佳A,深圳,家用电器,主板,19920327
13,SZ000017,000017,*ST中华A,深圳,文教休闲,主板,19920331
14,SZ000019,000019,深粮控股,深圳,其他商业,主板,19921012
15,SZ000020,000020,深华发A,深圳,元器件,主板,19920428
16,SZ000021,000021,深科技,深圳,IT设备,主板,19940202
17,SZ000023,000023,深天地A,深圳,其他建材,主板,19930429
18,SZ000025,000025,特力A,深圳,汽车服务,主板,19930621
19,SZ000026,000026,飞亚达,深圳,其他商业,主板,19930603
20,SZ000027,000027,深圳能源,深圳,火力发电,主板,19930903
21,SZ000028,000028,国药一致,深圳,医药商业,主板,19930809
22,SZ000029,000029,深深房A,深圳,区域地产,主板,19930915
23,SZ000030,000030,富奥股份,吉林,汽车配件,主板,19930929
24,SZ000031,000031,大悦城,深圳,全国地产,主板,19931008
25,SZ000032,000032,深桑达A,深圳,元器件,主板,19931028
26,SZ000034,000034,神州数码,深圳,综合类,主板,19940509
27,SZ000035,000035,中国天楹,江苏,环境保护,主板,19940408
28,SZ000036,000036,华联控股,深圳,全国地产,主板,19940617
29,SZ000037,000037,深南电A,深圳,火力发电,主板,19940701
30,SZ000038,000038,深大通,深圳,广告包装,主板,19940808
31,SZ000039,000039,中集集团,深圳,轻工机械,主板,19940408
32,SZ000040,000040,东旭蓝天,深圳,新型电力,主板,19940808
33,SZ000042,000042,中洲控股,深圳,全国地产,主板,19940921
34,SZ000045,000045,深纺织A,深圳,元器件,主板,19940815
35,SZ000046,000046,泛海控股,北京,多元金融,主板,19940912
36,SZ000048,000048,京基智农,深圳,饲料,主板,19941101
37,SZ000049,000049,德赛电池,深圳,电气设备,主板,19950320
38,SZ000050,000050,深天马A,深圳,元器件,主板,19950315
39,SZ000055,000055,方大集团,深圳,其他建材,主板,19960415
40,SZ000056,000056,皇庭国际,深圳,房产服务,主板,19960708
41,SZ000058,000058,深赛格,深圳,元器件,主板,19961226
42,SZ000059,000059,华锦股份,辽宁,石油加工,主板,19970130
43,SZ000060,000060,中金岭南,深圳,铅锌,主板,19970123
44,SZ000061,000061,农产品,深圳,农业综合,主板,19970110
45,SZ000062,000062,深圳华强,深圳,批发业,主板,19970130
46,SZ000063,000063,中兴通讯,深圳,通信设备,主板,19971118
47,SZ000065,000065,北方国际,北京,建筑工程,主板,19980605
48,SZ000066,000066,中国长城,深圳,IT设备,主板,19970626
49,SZ000068,000068,华控赛格,深圳,环境保护,主板,19970611
50,SZ000069,000069,华侨城A,深圳,旅游景点,主板,19970910
51,SZ000070,000070,特发信息,深圳,通信设备,主板,20000511
52,SZ000078,000078,海王生物,深圳,医药商业,主板,19981218
53,SZ000088,000088,盐田港,深圳,港口,主板,19970728
54,SZ000089,000089,深圳机场,深圳,机场,主板,19980420
55,SZ000090,000090,天健集团,深圳,建筑工程,主板,19990721
56,SZ000096,000096,广聚能源,深圳,石油贸易,主板,20000724
57,SZ000099,000099,中信海直,深圳,空运,主板,20000731
58,SZ000100,000100,TCL科技,广东,元器件,主板,20040130
59,SZ000150,000150,宜华健康,广东,医疗保健,主板,20000807
60,SZ000151,000151,中成股份,北京,商贸代理,主板,20000906
61,SZ000153,000153,丰原药业,安徽,化学制药,主板,20000920
62,SZ000155,000155,川能动力,四川,新型电力,主板,20000926
