股票代码,股票简称,一级行业,二级行业,三级行业,所属概念
000009.SZ,中国宝安,综合,综合,综合Ⅲ,磷酸铁锂;低碳;土地流转;聚土地概念;融资融券;深股通;转融券标的;充电桩;生物医药;负极材料;新能源汽车;锂电池;石墨烯;创投;稀土永磁;黄金概念;小金属概念;钴;分拆上市意愿;参股新三板;军工;芯片概念;口罩;新三板精选层;标普道琼斯A股;富时罗素概念股;富时罗素概念
000409.SZ,ST地矿,综合,综合,综合Ⅲ,稀有金属;中医药;小金属概念;黄金概念;地方国资改革;ST板块;山东国资改革;卫星导航
000611.SZ,*ST天首,综合,综合,综合Ⅲ,涉矿;大数据;钼;小金属概念;壳资源;ST板块
000652.SZ,泰达股份,综合,综合,综合Ⅲ,余额宝;滨海新区;秸秆综合利用;参股券商;债转股;废气处理;环渤海;低碳;循环经济;足球概念;雄安金融;重金属治理;雄安新区;垃圾发电;固废处理;节能环保;独角兽概念;流感;创投;芯片概念;天津国资改革;地方国资改革;融资融券;转融券标的;口罩;油气运输仓储;信托概念;深股通
000839.SZ,中信国安,综合,综合,综合Ⅲ,新媒体;中概股回归;锂矿;钾离子电池;数字电视;火箭军;稀有金属;虚拟现实;深股通;转融券标的;锂电制造;VR直播;小金属概念;新能源汽车;锂电池;广播电视;文化传媒;融资融券;网络直播;RCS富媒体通信;标普道琼斯A股;富时罗素概念股;富时罗素概念
002575.SZ,*ST群兴,综合,综合,综合Ⅲ,儿童消费品;融资租赁;圣诞节;股权转让;创投;区块链;ST板块;二胎概念
002967.SZ,广电计量,综合,综合,综合Ⅲ,地方国资改革;新股与次新股;非科创次新股;节能环保;食品安全;广东国资改革;送转填权;中芯国际概念
300012.SZ,华测检测,综合,综合,综合Ⅲ,食品安全;PM2.5;土壤修复;电子商务;废气处理;塑化剂;检测认证;食品中国峰会;环境监测;现代服务业;深股通;融资融券;转融券标的;基因测序;体外诊断;MSCI概念;富时罗素概念股;富时罗素概念
300797.SZ,钢研纳克,综合,综合,综合Ⅲ,央企国资改革;新股与次新股;非科创次新股;食品安全;职业教育;大飞机;稀土永磁;新能源汽车
600070.SH,浙江富润,综合,综合,综合Ⅲ,小额贷款;节能环保;金改;大数据;华为概念;独角兽概念;区块链;口罩;沪股通;今日头条概念;腾讯概念
600083.SH,*ST博信,综合,综合,综合Ⅲ,股权转让;人工智能;智能手表;智能音箱;柔性屏;无线耳机;ST板块
